feature,0-3m,3-6m,6-9m,9-12m,change,change_pct
コード品質スコア,0.07007972020944846,0.07626128153286285,0.0889241743918834,0.07465438896598033,0.004574668756531869,6.527806821801625
レビュー規模（行数）,0.08143753600194589,0.06935557626924777,0.06326353420873608,0.10532626682650749,0.023888730824561596,29.33380845902655
レビュー負荷,0.07925725584644165,0.05485536827980435,0.0580695445642099,0.08182870479950795,0.0025714489530662965,3.24443349142493
協力スコア,0.13753522362741444,0.16126779667337499,0.1593638404211427,0.1430606123809318,0.005525388753517352,4.017435394212711
協力度,0.0,0.0,0.0,0.0,0.0,
平均活動間隔,0.07877150670643472,0.0870267137119382,0.08627289037301797,0.08448503832595089,0.005713531619516168,7.253297363993977
強度（ファイル数）,0.06711064862907289,0.07668626318727215,0.0767634010231239,0.07513426047907844,0.008023611850005552,11.955795412368667
応答速度,0.07100945738782027,0.05507077064423028,0.04767796810547495,0.06845250912380989,-0.0025569482640103863,-3.600855939576523
最近の受諾率,0.15343819224223668,0.2043871614183375,0.20813222166022885,0.17080688354721166,0.01736869130497498,11.31966627810278
最近の活動頻度,0.09080055445030913,0.05016083783607849,0.04707794765842539,0.049646832882550014,-0.041153721567759115,-45.323205146594795
活動トレンド,0.0639240445896084,0.07859571909159396,0.07390515757234847,0.07582713208483441,0.011903087495226006,18.620673287561328
経験日数,0.07265363730923784,0.05911573244882428,0.06288829758428047,0.06115456045604297,-0.011499076853194866,-15.827255563614804
総コミット数,0.017673175092884075,0.014348815643401546,0.015904388266810062,0.0046361075018654645,-0.01303706759101861,-73.76754613984362
総レビュー数,0.016309047907145564,0.012867963263033758,0.01175663417031797,0.0049867026257287336,-0.01132234528141683,-69.42370484089457
