pattern,train_window,eval_window,f1,auc_roc,auc_pr,precision,recall,accuracy,n_samples
0-3m → 0-3m,0-3m,0-3m,0.9230769230769231,0.6685623293903549,0.912889017310494,0.861878453038674,0.9936305732484076,0.8598761042661296,185
0-3m → 3-6m,0-3m,3-6m,0.9072847682119205,0.5727493917274938,0.8617375215744794,0.8303030303030303,1.0,0.8285167281115503,167
0-3m → 6-9m,0-3m,6-9m,0.9550173010380623,0.5735785953177257,0.9381632903655416,0.9139072847682119,1.0,0.9139072847682119,151
0-3m → 9-12m,0-3m,9-12m,0.88,0.5342424242424242,0.8284749270641261,0.7857142857142857,1.0,0.7857142857142857,140
3-6m → 3-6m,3-6m,3-6m,0.910828025477707,0.6805694305694305,0.90779244536517,0.8362573099415205,1.0,0.8362573099415205,171
3-6m → 6-9m,3-6m,6-9m,0.9559322033898305,0.5117294053464266,0.8997921299411765,0.9155844155844156,1.0,0.9155844155844156,154
3-6m → 9-12m,3-6m,9-12m,0.8837209302325582,0.6195906432748538,0.8452636519650143,0.7916666666666666,1.0,0.7916666666666666,144
6-9m → 6-9m,6-9m,6-9m,0.9442622950819672,0.7284460505937016,0.9632338437487605,0.9230769230769231,0.9664429530201343,0.9228101954439403,162
6-9m → 9-12m,6-9m,9-12m,0.8897338403041825,0.6598880047155908,0.8786770683459983,0.8013698630136986,1.0,0.8013698630136986,146
9-12m → 9-12m,9-12m,9-12m,0.891566265060241,0.6609943276609943,0.8759583421136825,0.8043478260869565,1.0,0.8043478260869565,138
