model,project_type,accuracy,count
IRL,Expert (4+ proj),0.9710144927536232,69
IRL,Contributor (2-3 proj),0.8387096774193549,62
IRL,Specialist (1 proj),0.5,52
Random Forest,Expert (4+ proj),1.0,69
Random Forest,Contributor (2-3 proj),1.0,62
Random Forest,Specialist (1 proj),0.9807692307692307,52
Random Forest (Deep),Expert (4+ proj),1.0,69
Random Forest (Deep),Contributor (2-3 proj),1.0,62
Random Forest (Deep),Specialist (1 proj),0.9807692307692307,52
Random Forest (More Trees),Expert (4+ proj),1.0,69
Random Forest (More Trees),Contributor (2-3 proj),1.0,62
Random Forest (More Trees),Specialist (1 proj),0.9807692307692307,52
Logistic Regression,Expert (4+ proj),0.9565217391304348,69
Logistic Regression,Contributor (2-3 proj),0.7096774193548387,62
Logistic Regression,Specialist (1 proj),0.5576923076923077,52
