Platform,Pattern,Train,Eval,F1,AUC-ROC,AUC-PR,Precision,Recall,Total,Distance
OpenStack-50proj,0-3m→0-3m,0-3m,0-3m,0.9051094890510949,0.698993658671078,0.9134257985654622,0.8266666666666667,1.0,225,0
OpenStack-50proj,0-3m→3-6m,0-3m,3-6m,0.8920454545454546,0.6765839758632249,0.9027169404125156,0.8051282051282052,1.0,195,1
OpenStack-50proj,0-3m→6-9m,0-3m,6-9m,0.9495548961424333,0.6599264705882353,0.9411992939153131,0.903954802259887,1.0,177,2
OpenStack-50proj,0-3m→9-12m,0-3m,9-12m,0.8775510204081632,0.5564168819982773,0.7957757972177847,0.7818181818181819,1.0,165,3
OpenStack-50proj,3-6m→3-6m,3-6m,3-6m,0.898876404494382,0.7066722972972972,0.9138749154129362,0.8163265306122449,1.0,197,0
OpenStack-50proj,3-6m→6-9m,3-6m,6-9m,0.9455587392550143,0.6947368421052632,0.9380098021927171,0.8967391304347826,1.0,184,1
OpenStack-50proj,3-6m→9-12m,3-6m,9-12m,0.88,0.601010101010101,0.8334109619135835,0.7857142857142857,1.0,168,2
OpenStack-50proj,6-9m→6-9m,6-9m,6-9m,0.9482758620689655,0.703030303030303,0.9406743616606041,0.9016393442622951,1.0,183,0
OpenStack-50proj,6-9m→9-12m,6-9m,9-12m,0.8811188811188811,0.6610644257703081,0.846303216571686,0.7875,1.0,160,1
OpenStack-50proj,9-12m→9-12m,9-12m,9-12m,0.8791946308724832,0.6540500424088211,0.85964045249182,0.7844311377245509,1.0,167,0
Android,0-3m→0-3m,0-3m,0-3m,0.9307692307692308,0.39348025711662077,0.8602063259819487,0.8705035971223022,1.0,139,0
Android,0-3m→3-6m,0-3m,3-6m,0.925764192139738,0.6409544950055494,0.927933376212858,0.8617886178861789,1.0,123,1
Android,0-3m→6-9m,0-3m,6-9m,0.918918918918919,0.38507625272331153,0.8292977058214971,0.85,1.0,120,2
Android,0-3m→9-12m,0-3m,9-12m,0.90625,0.6079182630906769,0.9055684980764154,0.8285714285714286,1.0,105,3
Android,3-6m→3-6m,3-6m,3-6m,0.927038626609442,0.6938997821350763,0.9383742904701764,0.864,1.0,125,0
Android,3-6m→6-9m,3-6m,6-9m,0.9210526315789473,0.6066137566137567,0.8938942506883332,0.8536585365853658,1.0,123,1
Android,3-6m→9-12m,3-6m,9-12m,0.914572864321608,0.6987718164188752,0.922855815151215,0.8425925925925926,1.0,108,2
Android,6-9m→6-9m,6-9m,6-9m,0.9416666666666667,0.6713021491782554,0.9470866054587406,0.889763779527559,1.0,127,0
Android,6-9m→9-12m,6-9m,9-12m,0.9444444444444444,0.6699346405228759,0.9528647186782793,0.8947368421052632,1.0,114,1
Android,9-12m→9-12m,9-12m,9-12m,0.9130434782608695,0.6706349206349207,0.9289040583168368,0.84,1.0,150,0
Chromium,0-3m→0-3m,0-3m,0-3m,0.9504950495049505,0.2791666666666667,0.857881193741352,0.9056603773584906,1.0,53,0
Chromium,0-3m→3-6m,0-3m,3-6m,1.0,,1.0,1.0,1.0,42,1
Chromium,0-3m→6-9m,0-3m,6-9m,0.9263157894736842,0.45779220779220786,0.8371777213180855,0.8627450980392157,1.0,51,2
Chromium,0-3m→9-12m,0-3m,9-12m,0.9682539682539683,0.6147540983606558,0.9696078299275168,0.9384615384615385,1.0,65,3
Chromium,3-6m→3-6m,3-6m,3-6m,1.0,,1.0,1.0,1.0,42,0
Chromium,3-6m→6-9m,3-6m,6-9m,0.9072164948453608,0.3181818181818182,0.7235618526610694,0.8301886792452831,1.0,53,1
Chromium,3-6m→9-12m,3-6m,9-12m,0.984375,0.21428571428571427,0.950225542126721,0.9692307692307692,1.0,65,2
Chromium,6-9m→6-9m,6-9m,6-9m,0.9484536082474226,0.5652173913043479,0.9377837595247359,0.9019607843137255,1.0,51,0
Chromium,6-9m→9-12m,6-9m,9-12m,0.9724770642201835,0.4716981132075472,0.9567713818272173,0.9464285714285714,1.0,56,1
Chromium,9-12m→9-12m,9-12m,9-12m,0.975609756097561,0.2944444444444444,0.9437692532087455,0.9523809523809523,1.0,63,0
Qt,0-3m→0-3m,0-3m,0-3m,0.7428571428571429,0.5534188034188035,0.6676970834079899,0.5909090909090909,1.0,44,0
Qt,0-3m→3-6m,0-3m,3-6m,0.7368421052631579,0.6222222222222222,0.6544757807498476,0.5833333333333334,1.0,36,1
Qt,0-3m→6-9m,0-3m,6-9m,0.847457627118644,0.45333333333333337,0.7100636669413599,0.7352941176470589,1.0,34,2
Qt,0-3m→9-12m,0-3m,9-12m,0.8656716417910447,0.5747126436781609,0.8192758901958495,0.7631578947368421,1.0,38,3
Qt,3-6m→3-6m,3-6m,3-6m,0.7333333333333333,0.32102272727272724,0.4959219140948528,0.5789473684210527,1.0,38,0
Qt,3-6m→6-9m,3-6m,6-9m,0.8450704225352113,0.3727272727272727,0.6697171725660945,0.7317073170731707,1.0,41,1
Qt,3-6m→9-12m,3-6m,9-12m,0.821917808219178,0.4538461538461539,0.7129501230516744,0.6976744186046512,1.0,43,2
Qt,6-9m→6-9m,6-9m,6-9m,0.8656716417910447,0.5708812260536399,0.8550465832419007,0.7631578947368421,1.0,38,0
Qt,6-9m→9-12m,6-9m,9-12m,0.8857142857142857,0.6209677419354839,0.8786262472909716,0.7948717948717948,1.0,39,1
Qt,9-12m→9-12m,9-12m,9-12m,0.8169014084507042,0.2771883289124668,0.5580597069137929,0.6904761904761905,1.0,42,0
