pattern,feature,importance
0-3m,experience_days,0.130751971949379
0-3m,total_reviews,0.16011407288863527
0-3m,activity_freq,0.11612924480881973
0-3m,acceptance_rate,0.06759871572841025
0-3m,avg_interval,0.09751408109826079
0-3m,accepted_count,0.08670331871594263
0-3m,rejected_count,0.12014121134444564
0-3m,experienced_flag,0.031300020773323306
0-3m,high_acceptance_flag,0.0
0-3m,high_frequency_flag,0.013622476930348001
0-3m,intensity_flag,0.007222629530158016
0-3m,collaboration_score,0.09769984667553627
0-3m,response_speed_flag,0.01149079246049192
0-3m,scale_flag,0.0597116170962493
3-6m,experience_days,0.1334450214846609
3-6m,total_reviews,0.09093082021921305
3-6m,activity_freq,0.14621639609283513
3-6m,acceptance_rate,0.07400939406940651
3-6m,avg_interval,0.11935408742005137
3-6m,accepted_count,0.16172751291686982
3-6m,rejected_count,0.10128583084617795
3-6m,experienced_flag,0.016986566965935306
3-6m,high_acceptance_flag,0.0
3-6m,high_frequency_flag,0.012865982177459817
3-6m,intensity_flag,0.004797884114702593
3-6m,collaboration_score,0.11189561026880993
3-6m,response_speed_flag,0.011227882095882158
3-6m,scale_flag,0.015257011327995314
6-9m,experience_days,0.1653576492750904
6-9m,total_reviews,0.12280995525112921
6-9m,activity_freq,0.1613721454922152
6-9m,acceptance_rate,0.0659866951409966
6-9m,avg_interval,0.08676607860950168
6-9m,accepted_count,0.16340321117882917
6-9m,rejected_count,0.10271193108308913
6-9m,experienced_flag,0.015328978333301659
6-9m,high_acceptance_flag,0.006543409803777391
6-9m,high_frequency_flag,0.009591583333209691
6-9m,intensity_flag,0.0028367638702029322
6-9m,collaboration_score,0.05844362617610686
6-9m,response_speed_flag,0.005829778936008897
6-9m,scale_flag,0.033018193516541144
9-12m,experience_days,0.14629126781558047
9-12m,total_reviews,0.1071104427683724
9-12m,activity_freq,0.14193896959699803
9-12m,acceptance_rate,0.07355345813339628
9-12m,avg_interval,0.052745889180580825
9-12m,accepted_count,0.18455516433583097
9-12m,rejected_count,0.13015538416236158
9-12m,experienced_flag,0.01230508175360407
9-12m,high_acceptance_flag,0.005777482859499824
9-12m,high_frequency_flag,0.006395140078167541
9-12m,intensity_flag,0.000360673750785874
9-12m,collaboration_score,0.09430662607585909
9-12m,response_speed_flag,0.0024856639463850406
9-12m,scale_flag,0.04201875554257794
