project,train_period,eval_period,total_developers,continuing_developers,dropout_developers,developer_continuation_rate,avg_history_acceptance_rate,median_history_acceptance_rate,std_history_acceptance_rate,avg_eval_acceptance_rate,median_eval_acceptance_rate,std_eval_acceptance_rate,total_eval_requests,total_eval_accepted,total_eval_rejected,overall_eval_acceptance_rate
Chromium,9-12m,9-12m,63,60,3,0.9523809523809523,0.756976887699614,0.9142857142857144,0.34140459947762297,0.7860906205939048,0.8571428571428571,0.2705808731343199,638,497,141,0.7789968652037618
Chromium,6-9m,9-12m,56,53,3,0.9464285714285714,0.6920876189564432,0.8677325581395349,0.3792184323980859,0.7420434630025147,0.8333333333333334,0.2818444446386495,643,496,147,0.7713841368584758
Chromium,6-9m,6-9m,51,46,5,0.9019607843137255,0.7165139211006358,0.875,0.3599015171515467,0.6733754869292258,0.7567567567567568,0.30971310552220516,608,432,176,0.7105263157894737
Chromium,0-3m,9-12m,65,61,4,0.9384615384615385,0.7831191860370084,1.0,0.31548225714943573,0.7713887623982802,0.8571428571428571,0.2870678720640522,721,576,145,0.7988904299583911
Chromium,0-3m,6-9m,51,44,7,0.8627450980392157,0.753983779067722,0.9090909090909092,0.31850297192548926,0.6814312770283596,0.8,0.3470620772057051,506,366,140,0.7233201581027668
Chromium,0-3m,3-6m,42,42,0,1.0,0.7525297889412433,0.857843137254902,0.3127831560269394,0.804075836767207,0.8571428571428571,0.2152787891490416,577,450,127,0.779896013864818
Chromium,0-3m,0-3m,53,48,5,0.9056603773584906,0.679953362109609,0.7978723404255319,0.3496981140280284,0.734574229554014,0.8333333333333334,0.31672098080433364,567,420,147,0.7407407407407407
Chromium,3-6m,9-12m,65,63,2,0.9692307692307692,0.7499844451843828,0.8666666666666667,0.32659195095141325,0.7706244315660761,0.8333333333333334,0.25179861277779997,666,512,154,0.7687687687687688
Chromium,3-6m,6-9m,53,44,9,0.8301886792452831,0.7402911548975799,0.8333333333333334,0.3115062010371883,0.6415328441977626,0.7567567567567568,0.3519656424044557,574,414,160,0.7212543554006968
Chromium,3-6m,3-6m,42,42,0,1.0,0.7531671802623217,0.806910569105691,0.27179033981088735,0.7818536145449846,0.8121693121693121,0.21711552346408344,611,475,136,0.7774140752864157
