auc_roc,auc_pr,optimal_threshold,threshold_source,precision,recall,f1_score,positive_count,negative_count,total_count,project,train_period,eval_period
0.6706349206349207,0.9289040583168368,0.13964293897151947,train_data,0.84,1.0,0.9130434782608695,126,24,150,Android,9-12m,9-12m
0.6699346405228759,0.9528647186782793,0.199114128947258,train_data,0.8947368421052632,1.0,0.9444444444444444,102,12,114,Android,6-9m,9-12m
0.6713021491782554,0.9470866054587406,0.23583368957042694,train_data,0.889763779527559,1.0,0.9416666666666667,113,14,127,Android,6-9m,6-9m
0.6079182630906769,0.9055684980764154,0.13317245244979858,train_data,0.8285714285714286,1.0,0.90625,87,18,105,Android,0-3m,9-12m
0.38507625272331153,0.8292977058214971,0.06459616869688034,train_data,0.85,1.0,0.918918918918919,102,18,120,Android,0-3m,6-9m
0.6409544950055494,0.927933376212858,0.1327410191297531,train_data,0.8617886178861789,1.0,0.925764192139738,106,17,123,Android,0-3m,3-6m
0.39348025711662077,0.8602063259819487,0.10569554567337036,train_data,0.8705035971223022,1.0,0.9307692307692308,121,18,139,Android,0-3m,0-3m
0.6987718164188752,0.922855815151215,0.1445634365081787,train_data,0.8425925925925926,1.0,0.914572864321608,91,17,108,Android,3-6m,9-12m
0.6066137566137567,0.8938942506883332,0.14377592504024506,train_data,0.8536585365853658,1.0,0.9210526315789473,105,18,123,Android,3-6m,6-9m
0.6938997821350763,0.9383742904701764,0.14657199382781982,train_data,0.864,1.0,0.927038626609442,108,17,125,Android,3-6m,3-6m
